"id","instrument_serialNumber","instrument_originalPlatform_id","instrument_serialNumberModel_id"
"1","""0186""","6","1"
"2","""43-3338""","6","3"
"3","""4551""","6","2"
"4","""205045""","6","4"
"5","""0184""","7","1"
"6","""43-3336""","7","3"
"7","""4548""","7","2"
"8","""0175""","8","1"
"9","""43-3276""","8","3"
"10","""4546""","8","2"
"11","""0188""","9","1"
"12","""43-3365""","9","3"
"13","""4550""","9","2"
"14","""0241""","10","1"
"15","""4739""","10","2"
"16","""0020""","10","5"
"17","""MFL-01-M-10000-ENS-001-SN7""","10","6"
"18","""210185""","6","4"