"id","instrument_variableSourceName","instrument_variableSourceUnits","instrument_variableInstrumentModel_id","instrument_variablePlatformCompany_id","instrument_cfVariable_id","instrument_nercVariable_id","instrument_gcmdKeyword","instrument_accuracy","instrument_precision","instrument_resolution","instrument_validMax","instrument_validMin"
"26","GPCTD_CONDUCTIVITY","Sm m-1","1","13","26","80","Earth Science > Oceans > Salinity/Density > Conductivity","0.0003","null","0.00001","9","0"
"27","GPCTD_TEMPERATURE","Celsius","1","13","27","145","Earth Science > Oceans > Ocean Temperature > Water Temperature","0.002","null","0.001","42","-5"
"28","GPCTD_PRESSURE","dbar","1","13","28","127","Earth Science > Oceans > Ocean Pressure > Water Pressure","0.1","null","0.002","1000","0"
"29","GPCTD_DOF","Hz","3","13","null","108","null","null","null","null","null","null"
"30","FLBBCD_CHL_COUNT","counts","2","13","null","null","null","null","null","null","null","null"
"31","FLBBCD_CHL_SCALED","ug l-1","2","13","29","106","Earth Science > Oceans > Ocean Chemistry > Chlorophyll","null","null","null","null","null"
"32","FLBBCD_BB_700_COUNT","counts","2","13","null","null","null","null","null","null","null","null"
"33","FLBBCD_BB_700_SCALED","m-1 sr-1","2","13","null","68","null","null","null","null","null","null"
"34","FLBBCD_CDOM_COUNT","counts","2","13","null","null","null","null","null","null","null","null"
"35","FLBBCD_CDOM_SCALED","ug l-1","2","13","null","78","null","null","null","null","null","null"
"36","MFLUV1_V1_COUNT","counts","6","13","null","null","null","null","null","null","null","null"
"37","MFLUV1_V2_COUNT","counts","6","13","null","null","null","null","null","null","null","null"
"38","MFLUV1_V3_COUNT","counts","6","13","null","null","null","null","null","null","null","null"
"39","MFLUV1_V4_COUNT","counts","6","13","null","null","null","null","null","null","null","null"
"40","MFLUV1_TMP","Celsius","6","13","null","null","null","null","null","null","null","null"
"41","MFLUV1_TRY_SCALED","ug l-1","6","13","null","null","null","null","null","null","null","null"
"42","MFLUV1_PHE_SCALED","ug l-1","6","13","null","null","null","null","null","null","null","null"
"43","MFLUV1_NAPH_SCALED","ug l-1","6","13","null","null","null","null","null","null","null","null"
"44","AROD_FT_TEMP","Celsius","5","13","31","146","null","0.01","null","0.001","45","-3"
"45","AROD_FT_DO","umol l-1","5","13","30","89","Earth Science > Oceans > Ocean Chemistry > Dissolved Gases","2","null","0.01","425","0"
"46","PORPOISE_STATUS","boolean","null","13","null","null","null","null","null","null","null","null"
"47","PORPOISE_EVTS","nan","null","13","null","null","null","null","null","null","null","null"
"48","PORPOISE_DISK_MOUNTED","boolean","null","13","null","null","null","null","null","null","null","null"
"49","PORPOISE_DISKS_USAGE","percent","null","13","null","null","null","null","null","null","null","null"
"50","PORPOISE_DISKS_FULL","boolean","null","13","null","null","null","null","null","null","null","null"
"51","PORPOISE_SAMPLING_STATUS","boolean","null","13","null","null","null","null","null","null","null","null"
"52","PORPOISE_ACOUSTIC_RECORDING","boolean","null","13","null","null","null","null","null","null","null","null"
"53","LEGATO_CONDUCTIVITY","mS cm-1","4","13","26","80","Earth Science > Oceans > Salinity/Density > Conductivity","0.0003","null","0.00001","8.5","0"
"54","LEGATO_TEMPERATURE","Celsius","4","13","27","145","Earth Science > Oceans > Ocean Temperature > Water Temperature","0.002","null","0.00005","42","-5"
"55","LEGATO_PRESSURE","dbar","4","13","28","127","Earth Science > Oceans > Ocean Pressure > Water Pressure","0.05","null","0.001","1000","0"
"56","LEGATO_SALINITY","ups","4","13","34","128","Earth Science > Oceans > Salinity/Density > Salinity","null","null","null","null","null"