"id","mission_number","mission_cruiseNumber","mission_deploymentDate","mission_recoveryDate","mission_batteryMax","mission_batteryMin","mission_deploymentLongitude","mission_deploymentLatitude","mission_recoveryLongitude","mission_recoveryLatitude","mission_minimumLongitude","mission_minimumLatitude","mission_maximumLongitude","mission_maximumLatitude","mission_waypointsGiven","mission_distanceTravelled","mission_numberOfYos","mission_numberOfScienceYos","mission_numberOfAlarms","mission_numberOfAlarmsWithOT","mission_hoursOfOT","mission_ballastedDensity","mission_comments","mission_argosTag_id","mission_deploymentVessel_id","mission_institute_id","mission_platformBattery_id","mission_platformName_id","mission_platformNavFirmware_id","mission_platformPayload_id","mission_platformPayloadFirmware_id","mission_platformRelease_id","mission_recoveryVessel_id","mission_profilingScheme","mission_summary","mission_network","mission_project"
"17","36","GLI2018_SEA019_36","2018-02-13","2018-02-15","29.2","28.6","-63.4081","44.521","null","null","-63.41","44.49","-63.28","44.53","DR-ON3-ON2-ON1-DR","27","203","406","0","0","0","1024","Did a fish shape, is mag declinaison accounted for?","5","1","null","1","6","1","1","1","1","1","1","null","OceanGliders > BOON > Northwest Atlantic Ocean",""
"18","43","GLI2018_SEA019_43","2018-03-19","2018-03-23","29.2","28.3","-63.406","44.521","null","null","-63.41","44.06","-63.12","44.53","DR-HL2","60","143","286","2","1","1","1024.6","Altimeter and SMTP mailing issues, lost dropweight, difted almost 48h before recovery by Grenfell","5","1","null","1","6","1","1","1","1","6","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"19","30","GLI2018_SEA021_30","2018-04-11","2018-04-25","29.2","26.5","-63.406","44.521","null","null","-63.46","43.68","-62.55","44.53","DR- HL2-HL3-HL3.3-HL3-HL2-HL1-Tri-DR","310","833","1666","1","0","0","1025","Glider was hold at the surface 3min ?by fisheman? on first day, drifted 2h after 200 yos because of the cycle.total parameter in a config file, dropweight was tapped to glider and altimeter gain was 10. We are now relying on Alseamar SMTP. FTP site was full one night","5","1","null","1","7","1","2","1","2","1","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"20","49","GLI2018_SEA019_49","2018-05-15","2018-05-17","29.2","28.7","-63.406","44.521","null","null","-63.41","44.33","-63.31","44.53","DR","40","172","172","2","1","1","1024.3"," Had a ballasting alarm 64, recovered before long week-end, NetCDF_L2 error SOCIB","5","1","null","1","6","1","1","1","2","1","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"21","33","GLI2018_SEA021_33","2018-05-17","2018-06-04","29.2","26.4","-63.406","44.521","null","null","-63.54","43.19","-62.1","44.51","DR- HL2-HL3-HL4-HL5-HL4-HL3-HL2-HL1","350","997","997","4","3","3","1023.9"," Nothing major...Had several pitch alarm because pu was too low and 1 depth alarm while coming back to shore","5","1","null","1","7","1","2","1","2","1","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"22","25","GLI2018_SEA024_25","2018-06-04","2018-06-28","29.2","26.3","-63.4363","44.3893","null","null","-63.44","42.87","-61.63","44.4","HL1-HL2-HL3-HL4-HL5-HL6-HL5-HL4-HL3-HL2","465","1125","110","3","3","3","1023.5"," Altimeter has continious  hits at 40m while going down,  glider rebooted itself after HL3 (June 8) and lost the CTD after. Dive started at 1 again. PLD has been turned off completly on June 18 on the way back close to HL5. corrosion was found on power cable.","3","1","null","1","9","1","3","1","2","1","2","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"23","32","GLI2018_SEA022_32","2018-06-28","2018-07-20","29.3","26.4","-63.301","44.3165","null","null","-63.47","42.88","-61.64","44.52","HL2-HL3-HL4-HL5-HL6-HL5-HL4-HL3-HL2-HL1-DR","480","1089","544","2","2","2","1023.5","Sub sample data every 60s instead of 30s. One 1024 alarm at the end, glider probably touched the seabed while turning. Perfect mission, more batterie, good comm, good heading, faster,…","5","1","null","1","8","1","4","1","2","1","2","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"24","54","GLI2018_SEA019_54","2018-07-24","2018-08-14","29.2","26.5","-63.421","44.363","null","null","-63.45","43.2","-62.1","44.53","HL2-HL3-HL4-HL5-GL2-GL1-HL2-Tri-DR","440","1198","599","9+","6","6","1022.7","ballast.hy=20 didn't work for 64 alarm, sub sample data every 60s. Angular 256 alarm on first night and at end of mission. We hit internal waves on the way back (dive 522). At least 7x64 alarm, was masked last 5 days cause too often. ","3","1","null","1","6","1","1","1","2","9","2","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"25","32","GLI2018_SEA024_32","2018-10-15","2018-10-25","29","27","-63.4064","44.5208","null","null","-63.52","43.79","-62.79","44.53","DR-HL2-GL1-HL3.3-GL1-HL2-hl1-Duncans","210","645","322","1","1","1","1022.5","Double mission with SEA032, sampling 4s, ballast.hy=20. Almost beached on Duncans cove rock cliffs.The PLD depth is higher than the Nav depth and Nav depth is false","3","1","null","1","9","2","3","2","2","1","2","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"26","26","GLI2018_SEA032_26","2018-10-15","2018-10-25","29","27","-63.4064","44.5208","null","null","-63.53","43.78","-62.75","44.53","DR-HL2-GL1-HL3.3-GL1-HL2-hl1-Duncans","220","637","318","8","7","7","1022.5","Double mission with SEA024, sampling 4s, ballast.hy=20.  Almost beached on Duncans cove rock cliffs.The PLD depth is higher than the Nav depth and Nav depth is false","5","1","null","1","10","2","5","2","2","1","2","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"27","34","GLI2018_SEA022_34","2018-11-06","2018-11-27","29.2","26.4","-52.9506","48.7256","null","null","-53","48.7","-49.6","49.9","BB1-BB2-BB4-BB7-BB10-BB12-BB10-BB7-BB4","495","430","448","5+","3","3","1025","Alarm 2048 was masked as the glider trigger it every time it goes to the surface due to 10m waves. The conductivity, oxygen and pump stopped working we don't know why. Recovered by the Hudson. Later, it was known the conductivity and oxygen stopped working because of a bad cable linking the DO sensor to the CTD.","1","7","null","1","8","1","4","1","2","11","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Bonavista line...","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"28","39","GLI2018_SEA021_39","2018-11-20","2018-12-06","29.1","26.5","-63.368","44.3956","null","null","-63.5","43.79","-62.83","44.53","HL2-120deg-40deg-DR","250","856","428","5","4","4","1024.5","Drifted a lot on the way out because of heading issues in NSC , had to put fixed heading of 120deg to try to go back east, 256 alarms ","3","1","null","1","7","1","2","1","2","1","2","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"29","30","GLI2019_SEA032_30","2019-01-16","2019-02-06","29.2","25.8","-63.3686","44.3854","null","null","-63.46","42.59","-61.4","44.53","HL2-GL1-GL2-GL3-HL7-GL3-GL2-GL5-DR","600","1362","681","1","1","1","1024.5","Went to HL7 for first time. Did 2 drift of 30 min at DR, depth 20m. The PLD depth is higher than the Nav depth and Nav depth is false. Battery start decreasing fast at the end","3","1","null","1","10","3","5","2","2","1","2","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"30","49","GLI2019_SEA021_49","2019-02-22","2019-03-14","29.2","26.4","-63.4204","44.5095","null","null","-63.43","42.91","-61.76","44.51","DR-GL1-GL2-GL3-HL6-GL3-GL2-GL1-GL5-GL4","483","1070","535","0","0","0","1024.8","RBR duet and for the first time, no alarm!!! Some dataline shifted in Raw files","1","1","null","1","7","3","2","2","2","1","2","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"31","58","GLI2019_SEA019_58","2019-03-14","2019-04-05","29.2","26","-63.2963","44.3683","null","null","-63.44","42.59","-61.45","44.56","GL1-GL2-GL3-HL7-GL3-GL2-GL1-GL5-DR-close","571","1287","807","1","1","1","1024.8","New fins, RBR duet, crossing path of SEA021M51 on the way in at 12pm on april 1st (dive 791), really pushing the battery to go to HL7 in winter the storm prevent a early recovery. Very dificult recovery, mud in/on cdt, dataline shifted which gives random pressure values of 1000 to 8000 ( condutivity)","6","1","null","1","6","3","1","2","2","1","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"32","51","GLI2019_SEA021_51","2019-03-29","2019-04-18","29.2","26.3","-63.4164","44.4745","null","null","-63.43","43","-61.95","44.53","GL1-GL2-GL3-GL2-GL1-GL5-DR","478","1444","942","3+","1","1","1025","Crossing path of SEA019M58 on the way out  at 12pm on april 1st (dive 156), 256 alarms masked, serious problem with angular,dataline shifted which gives random pressure values ","1","1","null","1","7","4","2","2","2","1","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"33","60","GLI2019_SEA019_60","2019-05-06","2019-05-07","29.1","28.9","-63.299","44.3672","null","null","-63.42","44.31","-63.36","44.43","HL2-DR","22","62","62","0","0","0","1024.5","test with a warm up period of 10s, dataline shifted again","8","1","null","1","6","4","1","2","2","1","1","null","OceanGliders > BOON > Northwest Atlantic Ocean",""
"34","38","GLI2019_SEA022_38","2019-06-04","2019-06-07","29.3","28.5","-63.3457","44.3804","null","null","-63.42","44.3","-63.22","44.53","GL1-DR","55","250","2","0","0","0","1023.5","Aborted, After 4 min in water, DO became 0 and on the way up of the 3rd dive conductivity became -1… it was a bad oxygen  CTD cable. WarmUpPeriod = 10","1","1","null","1","8","4","4","2","2","1","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"35","35","GLI2019_SEA024_35","2019-06-07","2019-06-25","29.2","26.3","-63.3604","44.3976","null","null","-63.43","43.49","-62.46","44.54","GL1-GL2-HL4-GL2-GL1-GL2-GL1-GL5-DR","415","1075","2150","1","0","0","1024.4","Iris was closed for 1 night, did some back and forth in emerald basin. dataline shifted","1","1","null","1","9","4","3","2","2","1","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"36","44","GLI2019_SEA022_44","2019-07-02","2019-07-24","29.2","26.2","-63.3039","44.3797","null","null","-63.41","42.53","-61.34","44.49","GL1-GL2-GL3-HL7-North-GL3-GL2-GL1-GL5-DR","577","1037","459","7","6","6","1023","Only second time we use SEA022 on HL, faster and more battery left than any other glider, got stuck by current on the way back from HL7, lost at least 2 days, The samplin at 2s did not resolve the data line shifting issue","1","1","null","1","8","4","4","2","2","1","2","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
