"id","platform_variableSourceName","platform_variableSourceUnits","platform_variablePlatformCompany_id","platform_cfVariable_id","platform_nercVariable_id"
"1","Timestamp","nan","13","null","149"
"2","NavState","nan","13","null","null"
"3","SecurityLevel","nan","13","null","null"
"4","Heading","degrees","13","null","110"
"5","Declination","degrees","13","null","null"
"6","Pitch","degrees","13","24","122"
"7","Roll","degrees","13","25","131"
"8","Depth","dbar","13","null","null"
"9","Temperature","Celsius","13","null","null"
"10","Pa","Pascal","13","null","null"
"11","Lon","degrees minutes decimal","13","null","null"
"12","Lat","degrees minutes decimal","13","null","null"
"13","DeadReckoning","boolean","13","null","null"
"14","DesiredH","degrees","13","null","null"
"15","BallastCmd","ml","13","null","null"
"16","BallastPos","ml","13","null","null"
"17","LinCmd","mm","13","null","null"
"18","LinPos","mm","13","null","null"
"19","AngCmd","degrees","13","null","null"
"20","AngPos","degrees","13","null","null"
"21","Voltage","volts","13","null","null"
"22","Altitude","ml","13","null","62"
"23","PLD_REALTIMECLOCK","nan","13","null","null"
"24","NAV_RESOURCE","nan","13","null","null"
"25","NAV_MISSIONID","nan","13","null","null"
"26","NAV_NUMBEROFYO","nan","13","null","null"
"27","NAV_LONGITUDE","degrees minutes decimal","13","22","114"
"28","NAV_LATITUDE","degrees minutes decimal","13","21","111"
"29","NAV_DEPTH","dbar","13","null","null"