"id","variable_parameterName","variable_longName","variable_parameterNameComment","variable_cfName_id","variable_cfUnit_id","variable_nercName_id"
"1","CNDC","Electrical conductivity","argo","26","1","null"
"2","PRES","Sea water pressure, equals 0 at sea-level","argo","28","2","null"
"3","PSAL","Practical salinity","argo","34","3","null"
"4","TEMP","Sea temperature in-situ ITS-90 scale","argo","27","4","null"
"5","DOXY","Dissolved oxygen","argo","35","5","null"
"6","TEMP_DOXY","Sea temperature from oxygen sensor ITS-90 scale","argo","31","4","null"
"7","TEMP_VOLTAGE_DOXY","Thermistor voltage reported by oxygen sensor","argo","null","6","null"
"8","VOLTAGE_DOXY","Voltage reported by oxygen sensor","argo","null","6","null"
"9","FREQUENCY_DOXY","Frequency reported by oxygen sensor","argo","null","7","null"
"10","COUNT_DOXY","Count reported by oxygen sensor","argo","null","8","null"
"11","BPHASE_DOXY","Uncalibrated phase shift reported by oxygen sensor","argo","null","9","null"
"12","DPHASE_DOXY","Calibrated phase shift reported by oxygen sensor","argo","null","9","null"
"13","TPHASE_DOXY","Uncalibrated phase shift reported by oxygen sensor","argo","null","9","null"
"14","C1PHASE_DOXY","Uncalibrated phase shift reported by oxygen sensor","argo","null","9","null"
"15","C2PHASE_DOXY","Uncalibrated phase shift reported by oxygen sensor","argo","null","9","null"
"16","MOLAR_DOXY","Uncompensated (pressure and salinity) oxygen concentration reported
by the oxygen sensor","argo","30","10","null"
"17","PHASE_DELAY_DOXY","Phase delay reported by oxygen sensor","argo","null","11","null"
"18","MLPL_DOXY","Oxygen concentration reported by the oxygen sensor","argo","null","12","null"
"19","NB_SAMPLE_CTD","Number of samples in each pressure bin for the CTD","argo","null","8","null"
"20","NB_SAMPLE_SFET","Number of samples in each pressure bin for the SFET","argo","null","8","null"
"21","RPHASE_DOXY","Uncalibrated red phase shift reported by oxygen sensor","argo","null","9","null"
"22","TEMP_COUNT_DOXY","Count which is expressive of uncalibrated temperature value reported by oxygen sensor","argo","null","8","null"
"23","LED_FLASHING_COUNT_DOXY","Number of times oxygen sensor flashing to measure oxygen","argo","null","8","null"
"24","PPOX_DOXY","Partial pressure of oxygen","argo","null","13","null"
"25","BETA_BACKSCATTERING470","Total angle specific volume from backscattering sensor at 470 nanometers","argo","null","8","null"
"26","BETA_BACKSCATTERING532","Total angle specific volume from backscattering sensor at 532 nanometers","argo","null","8","null"
"27","BETA_BACKSCATTERING700","Total angle specific volume from backscattering sensor at 700 nanometers","argo","null","8","null"
"28","FLUORESCENCE_CHLA","Chlorophyll-A signal from fluorescence sensor","argo","null","8","null"
"29","TEMP_CPU_CHLA","Thermistor signal from backscattering sensor","argo","null","8","null"
"30","FLUORESCENCE_CDOM","Raw fluorescence from coloured dissolved organic matter sensor","argo","null","8","null"
"31","SIDE_SCATTERING_TURBIDITY","Turbidity signal from side scattering sensor","argo","null","8","null"
"32","TRANSMITTANCE_PARTICLE_BEAM_ATTENUATION660","Beam attenuation from transmissometer sensor at 660 nanometers","argo","null","8","null"
"33","BBP","Particle backscattering at x nanometers","argo","null","14","null"
"34","BBP470","Particle backscattering at 470 nanometers","argo","null","14","null"
"35","BBP532","Particle backscattering at 532 nanometers","argo","null","14","null"
"36","BBP700","Particle backscattering at 700 nanometers","argo","null","14","null"
"37","TURBIDITY","Sea water turbidity","argo","36","15","null"
"38","CP660","Particle beam attenuation at 660 nanometers","argo","null","14","null"
"39","CHLA","Chlorophyll-A","argo","37","16","null"
"40","CDOM","Concentration of coloured dissolved organic matter in sea water","argo","null","17","null"
"41","UV_INTENSITY_NITRATE","Intensity of ultra violet flux from nitrate sensor","argo","null","8","null"
"42","UV_INTENSITY_DARK_NITRATE","Intensity of ultra violet flux dark measurement from nitrate sensor","argo","null","8","null"
"43","UV_INTENSITY_DARK_SEAWATER_NITRATE","Intensity of ultra-violet flux dark sea water from nitrate sensor","argo","null","8","null"
"44","NITRATE","Nitrate","argo","38","5","null"
"45","BISULFIDE","Bisulfide","argo","null","5","null"
"46","MOLAR_NITRATE","Nitrate","argo","null","10","null"
"47","FIT_ERROR_NITRATE","Nitrate fit error","argo","null","18","null"
"48","TEMP_NITRATE","Internal temperature of the SUNA sensor","argo","null","4","null"
"49","TEMP_SPECTROPHOTOMETER_NITRATE","Temperature of the spectrometer","argo","null","4","null"
"50","HUMIDITY_NITRATE","Relative humidity inside the SUNA sensor (If > 50% There is a leak)","argo","null","19","null"
"51","VRS_PH","Voltage difference between reference and source from pH sensor","argo","null","6","null"
"52","TEMP_PH","Sea temperature from pH sensor","argo","null","4","null"
"53","IB_PH","Base current of pH sensor","argo","null","20","null"
"54","VK_PH","Counter electrode voltage of pH sensor","argo","null","6","null"
"55","IK_PH","Counter electrode current of pH sensor","argo","null","20","null"
"56","PH_IN_SITU_TOTAL","pH","argo","39","18","null"
"57","PH_IN_SITU_FREE","pH","argo","null","18","null"
"58","PH_IN_SITU_SEAWATER","pH","argo","null","18","null"
"59","RAW_DOWNWELLING_IRRADIANCE380","Raw downwelling irradiance at 380 nanometers","argo","null","8","null"
"60","RAW_DOWNWELLING_IRRADIANCE412","Raw downwelling irradiance at 412 nanometers","argo","null","8","null"
"61","RAW_DOWNWELLING_IRRADIANCE443","Raw downwelling irradiance at 443 nanometers","argo","null","8","null"
"62","RAW_DOWNWELLING_IRRADIANCE490","Raw downwelling irradiance at 490 nanometers","argo","null","8","null"
"63","RAW_DOWNWELLING_IRRADIANCE555","Raw downwelling irradiance at 555 nanometers","argo","null","8","null"
"64","RAW_DOWNWELLING_IRRADIANCE665","Raw downwelling irradiance at 665 nanometers","argo","null","8","null"
"65","RAW_DOWNWELLING_IRRADIANCE670","Raw downwelling irradiance at 670 nanometers","argo","null","8","null"
"66","DOWN_IRRADIANCE380","Downwelling irradiance at 380 nanometers","argo","null","21","null"
"67","DOWN_IRRADIANCE412","Downwelling irradiance at 412 nanometers","argo","null","21","null"
"68","DOWN_IRRADIANCE443","Downwelling irradiance at 443 nanometers","argo","null","21","null"
"69","DOWN_IRRADIANCE490","Downwelling irradiance at 490 nanometers","argo","null","21","null"
"70","DOWN_IRRADIANCE555","Downwelling irradiance at 555 nanometers","argo","null","21","null"
"71","DOWN_IRRADIANCE665","Downwelling irradiance at 665 nanometers","argo","null","21","null"
"72","DOWN_IRRADIANCE670","Downwelling irradiance at 670 nanometers","argo","null","21","null"
"73","RAW_UPWELLING_RADIANCE412","Raw upwelling radiance at 412 nanometers","argo","null","8","null"
"74","RAW_UPWELLING_RADIANCE443","Raw upwelling radiance at 443 nanometers","argo","null","8","null"
"75","RAW_UPWELLING_RADIANCE490","Raw upwelling radiance at 490 nanometers","argo","null","8","null"
"76","RAW_UPWELLING_RADIANCE555","Raw upwelling radiance at 555 nanometers","argo","null","8","null"
"77","UP_RADIANCE412","Upwelling radiance at 412 nanometers","argo","40","22","null"
"78","UP_RADIANCE443","Upwelling radiance at 443 nanometers","argo","40","22","null"
"79","UP_RADIANCE490","Upwelling radiance at 490 nanometers","argo","40","22","null"
"80","UP_RADIANCE555","Upwelling radiance at 555 nanometers","argo","40","22","null"
"81","RAW_DOWNWELLING_PAR","Raw downwelling photosynthetic available radiation","argo","null","8","null"
"82","DOWNWELLING_PAR","Downwelling photosynthetic available radiation","argo","41","23","null"
"83","TEMP_CNDC","Internal temperature of the conductivity cell","argo","null","4","null"
"84","CHLA_FLUORESCENCE","Chlorophyll fluorescence with factory calibration","argo","null","25","null"
"85","temperature","Temperature","ioos","27","4","null"
"86","conductivity","Conductivity","ioos","26","1","null"
"87","salinity","Salinity","ioos","34","3","null"
"88","density","Density","ioos","42","26","null"
"89","lat","Latitude","ioos","21","27","null"
"90","lon","Longitude","ioos","22","28","null"
"91","pressure","Pressure","ioos","28","2","null"
"92","time","Time","ioos","null","null","null"
"93","depth","Depth","ioos","43","29","null"
"94","profile_id","Profile ID","ioosProfile","null","null","null"
"95","profile_time","Profile Center Time","ioosProfile","20","null","null"
"96","profile_lat","Profile Center Latitude","ioosProfile","21","27","null"
"97","profile_lon","Profile Center Longitude","ioosProfile","22","28","null"
"98","time_uv","Depth-Averaged Time","ioosProfile","null","null","null"
"99","lat_uv","Depth-Averaged Latitude","ioosProfile","21","27","null"
"100","lon_uv","Depth-Averaged Longitude","ioosProfile","22","28","null"
"101","u","Depth-Averaged Eastward Sea Water Velocity","ioosProfile","32","30","null"
"102","v","Depth-Averaged Northward Sea Water Velocity","ioosProfile","33","30","null"
"103","platform_orientation","glider heading angle","extra","23","31","null"
"104","platform_pitch","glider pitch angle","extra","24","31","null"
"105","platform_roll","glider roll angle","extra","25","31","null"
"106","profile_time_start","Profile Start Time","ioosProfile","null","null","null"
"107","profile_time_end","Profile End Time","ioosProfile","null","null","null"