instrument_calibrationDate,instrument_calibrationReport,instrument_calibrationReportNew
"""2016-05-07""","""SEA019_CTD_DO_calib_files_SN0186_2016.pdf""","""GPCTD_0186_20160505_P.pdf, GPCTD_0186_20160507_C.pdf, GPCTD_0186_20160507_T.pdf"""
"""2018-12-05""","""SEA019_CTD_DO_calib_files_SN0186_2018""","""GPCTD_0186_20181113_P.pdf, GPCTD_0186_20181205_C.pdf, GPCTD_0186_20181205_T.pdf"""
"""2019-07-26""","""SEA019_CTD_DO_calib_files_SN0186_2019""","""GPCTD_0186_20190725_P.pdf, GPCTD_0186_20190726_C.pdf, GPCTD_0186_20190726_T.pdf"""
"""2020-11-27""","""SEA019_CTD_DO_calib_files_SN0186_2020""","""GPCTD_0186_20201020_P.pdf, GPCTD_0186_20201024_C_postCruise.pdf, GPCTD_0186_20201024_T_postCruise.pdf, GPCTD_0186_20201127_C.pdf, GPCTD_0186_20201127_T.pdf"""
"""2022-04-19""","""SEA019_CTD_DO_calib_files_SN0186_2022""","""GPCTD_0186_20220414_P_neverUsed.pdf, GPCTD_0186_20220417_C_neverUsed.pdf, GPCTD_0186_20220417_T_neverUsed.pdf"""
"""2016-04-21""","""SEA019_CTD_DO_calib_files_SN0186_2016.pdf""","""43F_3338_20160421_SOCAdjusted.pdf"""
"""2018-12-19""","""SEA019_CTD_DO_calib_files_SN0186_2018""","""43F_3338_20181219.pdf, 43F_3338_20181219_SOCAdjusted.pdf"""
"""2019-07-25""","""SEA019_CTD_DO_calib_files_SN0186_2019""","""43F_3338_20190725_postCruise.pdf, 43F_3338_20190725_SOCAdjusted.pdf"""
"""2021-02-06""","""SEA019_CTD_DO_calib_files_SN0186_2020""","""43F_3338_20210206.pdf, 43F_3338_20210206_SOCAdjusted.pdf"""
"""2022-04-27""","""SEA019_CTD_DO_calib_files_SN0186_2022""","""43F_3338_20220427_neverUsed.pdf, 43F_3338_20220427_SOCAdjusted_neverUsed.pdf"""
"""2016-11-17""","""SEA019_FLBBCD_calib_files_SN4551.pdf""","""FLBBCD_4551_20161117.pdf"""
"""2020-07-29""","""SEA019_LEGATO_calib_files_SN205045_2020.pdf""","""LEGATO_205045_20200729.pdf"""
"""2016-05-01""","""SEA021_CTD_DO_calib_files_SN0184_2016.pdf""","""GPCTD_0184_20160429_P.pdf, GPCTD_0184_20160501_C.pdf, GPCTD_0184_20160501_T.pdf"""
"""2018-07-29""","""SEA021_CTD_DO_calib_files_SN0184_2018""","""GPCTD_0184_20180723_P.pdf, GPCTD_0184_20180729_C.pdf, GPCTD_0184_20180729_T.pdf"""
"""2019-12-29""","""SEA021_CTD_DO_calib_files_SN0184_2020""","""GPCTD_0184_20191203_P.pdf, GPCTD_0184_20191229_C.pdf, GPCTD_0184_20191229_T.pdf"""
"""2022-02-10""","""SEA021_CTD_DO_calib_files_SN0184_2022""","""GPCTD_0184_20220203_P.pdf, GPCTD_0184_20220210_C.pdf, GPCTD_0184_20220210_T.pdf"""
"""2016-04-22""","""SEA021_CTD_DO_calib_files_SN0184_2016.pdf""","""43F_3336_20160422_SOCAdjusted.pdf"""
"""2018-08-18""","""SEA021_CTD_DO_calib_files_SN0184_2018""","""43F_3336_20180818.pdf, 43F_3336_20180818_SOCAdjusted.pdf"""
"""2019-12-20""","""SEA021_CTD_DO_calib_files_SN0184_2020""","""43F_3336_20191220.pdf, 43F_3336_20191220_SOCAdjusted.pdf"""
"""2022-02-21""","""SEA021_CTD_DO_calib_files_SN0184_2022""","""43F_3336_20220201.pdf, 43F_3336_20220201_SOCAdjusted.pdf"""
"""2016-12-07""","""SEA021_FLBBCD_calib_files_SN4548.pdf""","""FLBBCD_4548_20161207.pdf"""
"""2016-03-09""","""SEA022_CTD_DO_calib_files_SN0175_2016.pdf""","""GPCTD_0175_20160307_P.pdf, GPCTD_0175_20160309_C.pdf, GPCTD_0175_20160309_T.pdf"""
"""2019-03-31""","""SEA022_CTD_DO_calib_files_SN0175_2019""","""GPCTD_0175_20190129_P.pdf, GPCTD_0175_20190331_C.pdf, GPCTD_0175_20190331_T.pdf"""
"""2021-01-14""","""SEA022_CTD_DO_calib_files_SN0175_2021_neverUsed""","""GPCTD_0175_20201105_P_neverUsed.pdf, GPCTD_0175_20201112_C_postCruise.pdf, GPCTD_0175_20201112_T_postCruise.pdf, GPCTD_0175_20210101_C_neverUsed.pdf, GPCTD_0175_20210101_T_neverUsed.pdf"""
"""2022-02-19""","""SEA022_CTD_DO_calib_files_SN0175_2022""","""GPCTD_0175_20220209_P.pdf, GPCTD_0175_20220215_C_postCruise.pdf, GPCTD_0175_20220215_T_postCruise.pdf, GPCTD_0175_20220219_C.pdf, GPCTD_0175_20220219_T.pdf"""
"""2016-01-30""","""SEA022_CTD_DO_calib_files_SN0175_2016.pdf""","""43F_3276_20160130_SOCAdjusted.pdf"""
"""2019-03-12""","""SEA022_CTD_DO_calib_files_SN0175_2019""","""43F_3276_20190312.pdf, 43F_3276_20190312_SOCAdjusted.pdf"""
"""2021-02-24""","""SEA022_CTD_DO_calib_files_SN0175_2021_neverUsed""","""43F_3276_20210224_neverUsed.pdf, 43F_3276_20210224_SOCAdjusted_neverUsed.pdf"""
"""2021-12-22""","""SEA022_CTD_DO_calib_files_SN0175_2022""","""43F_3276_20211222.pdf, 43F_3276_20211222_SOCAdjusted.pdf"""
"""2016-12-19""","""SEA022_FLBBCD_calib_files_SN4546.pdf""","""FLBBCD_4546_20161219.pdf"""
"""2016-05-07""","""SEA024_CTD_DO_calib_files_SN0188_2016.pdf""","""GPCTD_0188_20160505_P.pdf, GPCTD_0188_20160507_C.pdf, GPCTD_0188_20160507_T.pdf"""
"""2018-07-26""","""SEA024_CTD_DO_calib_files_SN0188_2018""","""GPCTD_0188_20180723_P.pdf, GPCTD_0188_20180726_C.pdf, GPCTD_0188_20180726_T.pdf"""
"""2019-07-30""","""SEA024_CTD_DO_calib_files_SN0188_2019""","""GPCTD_0188_20190725_P.pdf, GPCTD_0188_20190730_C.pdf, GPCTD_0188_20190730_T.pdf"""
"""2020-12-30""","""SEA024_CTD_DO_calib_files_SN0188_2021""","""GPCTD_0188_20201020_P.pdf, GPCTD_0188_20201024_C_postCruise.pdf, GPCTD_0188_20201024_T_postCruise.pdf, GPCTD_0188_20201230_C.pdf, GPCTD_0188_20201230_T.pdf"""
"""2016-04-20""","""SEA024_CTD_DO_calib_files_SN0188_2016.pdf""","""43F_3365_20160420_SOCAdjusted.pdf"""
"""2018-08-14""","""SEA024_CTD_DO_calib_files_SN0188_2018""","""43F_3365_20180814.pdf, 43F_3365_20180814_SOCadjusted.pdf"""
"""2019-08-18""","""SEA024_CTD_DO_calib_files_SN0188_2019""","""43F_3365_20190818.pdf, 43F_3365_20190818_SOCAdjusted.pdf"""
"""2021-01-05""","""SEA024_CTD_DO_calib_files_SN0188_2021""","""43F_3365_20201016_postCruise.pdf, 43F_3365_20210105.pdf, 43F_3365_20210105_SOCAdjusted.pdf, 43F_3365_20221105_postCruise.pdf"""
"""2016-12-07""","""SEA024_FLBBCD_calib_files_SN4550.pdf""","""FLBBCD_4550_20161207.pdf"""
"""2017-11-02""","""SEA032_CTD_calib_files_SN0241_2017.pdf""","""GPCTD_0241_20171020_P.pdf, GPCTD_0241_20171102_C.pdf, GPCTD_0241_20171102_T.pdf"""
"""2019-12-29""","""SEA032_CTD_calib_files_SN0241_2020""","""GPCTD_0241_20191203_P.pdf, GPCTD_0241_20191229_C.pdf, GPCTD_0241_20191229_T.pdf"""
"""2022-01-13""","""SEA032_CTD_calib_files_SN0241_2022""","""GPCTD_0241_20211216_P.pdf, GPCTD_0241_20211221_C_postCruise.pdf, GPCTD_0241_20211221_T_postCruise.pdf, GPCTD_0241_20220113_C.pdf, GPCTD_0241_20220113_T.pdf"""
"""2017-11-03""","""SEA032_RINKO_calib_files_SN0020_2017.pdf""","""AROD_FT_0020_20171103.pdf"""
"""2020-01-22""","""SEA032_RINKO_calib_files_SN0020_2020.pdf""","""AROD_FT_0020_20200122.pdf"""
"""2020-03-16""","""SEA032_MFLUV1_calib_files_2020.pdf""","""MFLUV1_7_20200316.pdf"""
"""2017-05-04""","""SEA032_FLBBCD_calib_files_SN4739.pdf""","""FLBBCD_4739_20170504.pdf"""
