"standardNameUrn","standardNameUri"
"SDN:P01::CNDCST01","http://vocab.nerc.ac.uk/collection/P01/current/CNDCST01/"
"SDN:P01::PRESPR01","http://vocab.nerc.ac.uk/collection/P01/current/PRESPR01/"
"SDN:P01::PSALST01","http://vocab.nerc.ac.uk/collection/P01/current/PSALST01/"
"SDN:P01::TEMPST01","http://vocab.nerc.ac.uk/collection/P01/current/TEMPST01/"
"SDN:P01::DOXMZZXX","http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/"
"SDN:P01::OXYTAAOP","http://vocab.nerc.ac.uk/collection/P01/current/OXYTAAOP/"
"SDN:P01::TCNTOPTT","http://vocab.nerc.ac.uk/collection/P01/current/TCNTOPTT/"
"SDN:P01::OXYOCPVL","http://vocab.nerc.ac.uk/collection/P01/current/OXYOCPVL/"
"SDN:P01::OXYOCPFR","http://vocab.nerc.ac.uk/collection/P01/current/OXYOCPFR/"
"SDN:P01::OXYOOPCT","http://vocab.nerc.ac.uk/collection/P01/current/OXYOOPCT/"
"SDN:P01::OXYCPHAB","http://vocab.nerc.ac.uk/collection/P01/current/OXYCPHAB/"
"SDN:P01::OXYCPHAC","http://vocab.nerc.ac.uk/collection/P01/current/OXYCPHAC/"
"SDN:P01::OXYCPHTC","http://vocab.nerc.ac.uk/collection/P01/current/OXYCPHTC/"
"SDN:P01::OXYCPHAR","http://vocab.nerc.ac.uk/collection/P01/current/OXYCPHAR/"
"SDN:P01::DOXYMMOP","http://vocab.nerc.ac.uk/collection/P01/current/DOXYMMOP/"
"SDN:P01::OXYCPH01","http://vocab.nerc.ac.uk/collection/P01/current/OXYCPH01/"
"SDN:P01::DOXYZZXX","http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/"
"SDN:P01::NUMVALES","http://vocab.nerc.ac.uk/collection/P01/current/NUMVALES/"
"SDN:P01::PPOXZZ01","http://vocab.nerc.ac.uk/collection/P01/current/PPOXZZ01/"
"SDN:P01::NVLTOBS1","http://vocab.nerc.ac.uk/collection/P01/current/NVLTOBS1/"
"SDN:P01::FCNTRW01","http://vocab.nerc.ac.uk/collection/P01/current/FCNTRW01/"
"SDN:P01::TCNTICPU","http://vocab.nerc.ac.uk/collection/P01/current/TCNTICPU/"
"SDN:P01::FLUOCDOM","http://vocab.nerc.ac.uk/collection/P01/current/FLUOCDOM/"
"SDN:P01::NCNTTUR1","http://vocab.nerc.ac.uk/collection/P01/current/NCNTTUR1/"
"SDN:P01::NCNTATT1","http://vocab.nerc.ac.uk/collection/P01/current/NCNTATT1/"
"SDN:P01::BSXXXVSF","http://vocab.nerc.ac.uk/collection/P01/current/BSXXXVSF/"
"SDN:P01::BB117B01","http://vocab.nerc.ac.uk/collection/P01/current/BB117B01/"
"SDN:P01::BB117G01","http://vocab.nerc.ac.uk/collection/P01/current/BB117G01/"
"SDN:P01::BB117NIR","http://vocab.nerc.ac.uk/collection/P01/current/BB117NIR/"
"SDN:P01::TURBXXXX","http://vocab.nerc.ac.uk/collection/P01/current/TURBXXXX/"
"SDN:P01::ATTNZZ01","http://vocab.nerc.ac.uk/collection/P01/current/ATTNZZ01/"
"SDN:P01::ATT650AC","http://vocab.nerc.ac.uk/collection/P01/current/ATT650AC/"
"SDN:P01::CPHLPR01","http://vocab.nerc.ac.uk/collection/P01/current/CPHLPR01/"
"SDN:P01::CDOMZZ01","http://vocab.nerc.ac.uk/collection/P01/current/CDOMZZ01/"
"SDN:P01::UVINZZ01","http://vocab.nerc.ac.uk/collection/P01/current/UVINZZ01/"
"SDN:P01::UVDAZZ01","http://vocab.nerc.ac.uk/collection/P01/current/UVDAZZ01/"
"SDN:P01::UVSDZZ01","http://vocab.nerc.ac.uk/collection/P01/current/UVSDZZ01/"
"SDN:P01::MDMAP005","http://vocab.nerc.ac.uk/collection/P01/current/MDMAP005/"
"SDN:P01::H2SXZZ01","http://vocab.nerc.ac.uk/collection/P01/current/H2SXZZ01/"
"SDN:P01::NTRZMC01","http://vocab.nerc.ac.uk/collection/P01/current/NTRZMC01/"
"SDN:P01::NTFEZZ01","http://vocab.nerc.ac.uk/collection/P01/current/NTFEZZ01/"
"SDN:P01::PVLTGC01","http://vocab.nerc.ac.uk/collection/P01/current/PVLTGC01/"
"SDN:P01::PHMASSXX","http://vocab.nerc.ac.uk/collection/P01/current/PHMASSXX/"
"SDN:P01::PHFRWCAL","http://vocab.nerc.ac.uk/collection/P01/current/PHFRWCAL/"
"SDN:P01::PHSWWCAL","http://vocab.nerc.ac.uk/collection/P01/current/PHSWWCAL/"
"SDN:P01::DWIRXXZZ","http://vocab.nerc.ac.uk/collection/P01/current/DWIRXXZZ/"
"SDN:P01::DWIRXXED","http://vocab.nerc.ac.uk/collection/P01/current/DWIRXXED/"
"SDN:P01::RXUD380E","http://vocab.nerc.ac.uk/collection/P01/current/RXUD380E/"
"SDN:P01::RXUD412E","http://vocab.nerc.ac.uk/collection/P01/current/RXUD412E/"
"SDN:P01::RXUD443E","http://vocab.nerc.ac.uk/collection/P01/current/RXUD443E/"
"SDN:P01::RXUD490E","http://vocab.nerc.ac.uk/collection/P01/current/RXUD490E/"
"SDN:P01::RXUD555E","http://vocab.nerc.ac.uk/collection/P01/current/RXUD555E/"
"SDN:P01::RXUD670E","http://vocab.nerc.ac.uk/collection/P01/current/RXUD670E/"
"SDN:P01::UPRAXXZZ","http://vocab.nerc.ac.uk/collection/P01/current/UPRAXXZZ/"
"SDN:P01::UPRAXXED","http://vocab.nerc.ac.uk/collection/P01/current/UPRAXXED/"
"SDN:P01::RXUU412L","http://vocab.nerc.ac.uk/collection/P01/current/RXUU412L/"
"SDN:P01::RXUU443L","http://vocab.nerc.ac.uk/collection/P01/current/RXUU443L/"
"SDN:P01::RXUU490L","http://vocab.nerc.ac.uk/collection/P01/current/RXUU490L/"
"SDN:P01::RXUU555L","http://vocab.nerc.ac.uk/collection/P01/current/RXUU555L/"
"SDN:P01::DWIRRXZZ","http://vocab.nerc.ac.uk/collection/P01/current/DWIRRXZZ/"
"SDN:P01::DWIRRXUD","http://vocab.nerc.ac.uk/collection/P01/current/DWIRRXUD/"
